block,street_name,latitude,longitude,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,BEACH RD,1.30367135060881,103.864478660925,6.0,1.0,4.0,2.0,7.0,2.0,4.0,1.0,6.0,12.0,8.0,3.0,3.0,12.0,6.0,2.0,6.0,4.0,7.0,6.0,3.0,4.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0
1,BEDOK STH AVE 1,1.32085208689734,103.933721091441,3.0,4.0,4.0,6.0,11.0,6.0,16.0,13.0,11.0,16.0,5.0,3.0,13.0,5.0,11.0,8.0,3.0,4.0,5.0,9.0,10.0,3.0,2.0,2.0,12.0,2.0,6.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,
1,CHAI CHEE RD,1.32796879176303,103.922716018139,3.0,6.0,8.0,5.0,6.0,15.0,5.0,5.0,8.0,10.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,
1,CHANGI VILLAGE RD,1.38854656229024,103.987804503483,,,,,,,,,,,,,1.0,2.0,1.0,3.0,5.0,1.0,,1.0,,4.0,2.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,,2.0,
1,DELTA AVE,1.29207525084313,103.828584077626,1.0,,2.0,7.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,2.0,,2.0,3.0,,3.0,1.0,1.0,3.0,3.0,1.0,3.0,
1,DOVER RD,1.30252574694854,103.783273166817,8.0,3.0,6.0,4.0,6.0,3.0,8.0,2.0,10.0,9.0,4.0,6.0,9.0,5.0,5.0,8.0,7.0,5.0,9.0,8.0,5.0,2.0,4.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0
1,EAST COAST RD,1.3117151144706771,103.9229897480418,1.0,3.0,3.0,4.0,1.0,4.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,,,5.0,,4.0,,,,,,,,,,,,,,
1,EVERTON PK,1.27742654288698,103.840001188095,2.0,5.0,4.0,3.0,4.0,6.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,,3.0,,1.0,4.0,2.0,2.0,4.0,1.0,3.0,,5.0,2.0,2.0,1.0,2.0,,1.0,2.0,2.0,1.0,
1,GHIM MOH RD,1.31287975684311,103.786855017635,8.0,4.0,4.0,3.0,15.0,15.0,14.0,4.0,10.0,14.0,8.0,12.0,10.0,9.0,11.0,11.0,5.0,6.0,12.0,6.0,7.0,5.0,6.0,3.0,2.0,4.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,
1,HAIG RD,1.31129091152628,103.897703432652,5.0,6.0,10.0,13.0,9.0,9.0,17.0,6.0,8.0,18.0,11.0,8.0,8.0,11.0,10.0,15.0,11.0,8.0,1.0,9.0,13.0,7.0,8.0,2.0,10.0,5.0,5.0,4.0,,5.0,2.0,2.0,6.0,5.0,1.0
1,HOUGANG AVE 3,1.36413097349223,103.89300132385,8.0,12.0,3.0,5.0,12.0,6.0,7.0,9.0,19.0,27.0,7.0,7.0,17.0,14.0,15.0,14.0,11.0,7.0,9.0,6.0,9.0,3.0,2.0,5.0,6.0,5.0,6.0,5.0,1.0,8.0,3.0,5.0,9.0,5.0,2.0
1,JLN BT MERAH,1.28645354030176,103.808242400418,3.0,8.0,2.0,4.0,9.0,9.0,11.0,5.0,8.0,18.0,17.0,14.0,9.0,7.0,12.0,8.0,9.0,4.0,5.0,7.0,8.0,7.0,2.0,2.0,7.0,5.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,
1,JLN PASAR BARU,1.3170237259189652,103.89753231756764,11.0,8.0,13.0,8.0,14.0,17.0,30.0,21.0,17.0,24.0,13.0,10.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,KG KAYU RD,1.30355769675631,103.883796413118,,,3.0,2.0,2.0,4.0,4.0,1.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,2.0,7.0,1.0,1.0,4.0,5.0,2.0,1.0,,2.0,3.0,2.0,2.0,1.0,,5.0,2.0,2.0,2.0,
1,LOR 7 TOA PAYOH,1.3394303354336,103.853442790992,11.0,7.0,2.0,1.0,8.0,10.0,11.0,7.0,17.0,9.0,16.0,8.0,6.0,7.0,5.0,7.0,10.0,5.0,1.0,9.0,10.0,10.0,4.0,2.0,6.0,4.0,5.0,5.0,2.0,6.0,6.0,4.0,5.0,2.0,
1,LOR LEW LIAN,1.3508671264695,103.875343939672,7.0,6.0,6.0,3.0,2.0,3.0,6.0,6.0,9.0,21.0,10.0,9.0,8.0,2.0,9.0,14.0,4.0,4.0,7.0,7.0,10.0,7.0,3.0,7.0,4.0,3.0,1.0,4.0,2.0,8.0,2.0,5.0,6.0,3.0,
1,MARINE TER,1.30482902187781,103.918614976369,6.0,3.0,3.0,7.0,6.0,9.0,4.0,6.0,4.0,4.0,4.0,2.0,9.0,1.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,,
1,MARSILING DR,1.44067109860247,103.775739945213,9.0,5.0,8.0,9.0,9.0,10.0,11.0,12.0,10.0,14.0,12.0,8.0,7.0,16.0,13.0,11.0,7.0,16.0,11.0,13.0,12.0,5.0,12.0,6.0,6.0,4.0,5.0,2.0,4.0,9.0,4.0,3.0,7.0,3.0,1.0
1,PINE CL,1.3078705621941,103.883192164927,,,,,,,,,,,,,,,6.0,3.0,6.0,6.0,6.0,9.0,9.0,3.0,5.0,3.0,6.0,3.0,3.0,1.0,7.0,1.0,2.0,5.0,6.0,2.0,
1,QUEEN'S RD,1.31726629524361,103.806782877524,3.0,1.0,1.0,2.0,3.0,4.0,3.0,,6.0,6.0,4.0,1.0,3.0,,2.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,,,2.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,,1.0
1,REDHILL CL,1.2843223111438176,103.81780711552412,2.0,1.0,,1.0,2.0,2.0,,1.0,4.0,4.0,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,
1,ROCHOR RD,1.3040180876640184,103.85430264904198,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0,,4.0,6.0,,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
1,SELETAR WEST FARMWAY 6,1.3945626965076348,103.8698789798039,3.0,2.0,,1.0,1.0,2.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,ST. GEORGE'S RD,1.32340263694071,103.86163080083,1.0,1.0,5.0,6.0,4.0,4.0,12.0,3.0,6.0,10.0,11.0,9.0,4.0,6.0,10.0,7.0,4.0,4.0,1.0,3.0,10.0,2.0,4.0,1.0,1.0,,4.0,,11.0,2.0,3.0,,4.0,1.0,
