station_name,type,lat,lng,opening
Jurong East,MRT,1.333207,103.742308,03-1990
Bukit Batok,MRT,1.349069,103.749596,03-1900
Bukit Gombak,MRT,1.359043,103.751863,03-1990
Choa Chu Kang,MRT,1.385417,103.744316,03-1990
Yew Tee,MRT,1.397383,103.747523,02-1996
Kranji,MRT,1.425302,103.762049,02-1996
Marsiling,MRT,1.432579,103.77415,02-1996
Woodlands,MRT,1.436984,103.786406,02-1996
Admiralty,MRT,1.436984,103.786406,02-1996
Sembawang,MRT,1.449133,103.82006,02-1996
Canberra,MRT,1.4435583219665806,103.82952203593071,11-2019
Yishun,MRT,1.429666,103.835044,12-1988
Khatib,MRT,1.417423,103.832995,12-1988
Yio Chu Kang,MRT,1.381765,103.844923,11-1987
Ang Mo Kio,MRT,1.370025,103.849588,11-1987
Bishan,MRT,1.35092,103.848206,11-1987
Braddell,MRT,1.34055,103.847098,11-1987
Toa Payoh,MRT,1.332405,103.847436,11-1987
Novena,MRT,1.320089,103.843405,12-1987
Newton,MRT,1.31383,103.838021,12-1987
Orchard,MRT,1.304041,103.831792,12-1987
Somerset,MRT,1.300508,103.838428,12-1987
Dhoby Ghaut,MRT,1.299169,103.845799,12-1987
City Hall,MRT,1.293119,103.852089,12-1987
Raffles Place,MRT,1.284001,103.85155,12-1987
Marina Bay,MRT,1.276481,103.854598,11-1989
Marina South Pier,MRT,1.271422,103.863581,11-2014
Tuas Link,MRT,1.340371,103.636866,06-2017
Tuas West Road,MRT,1.330075,103.639636,06-2017
Tuas Crescent,MRT,1.321091,103.649075,06-2017
Gul Circle,MRT,1.319809,103.66083,06-2017
Joo Koon,MRT,1.327826,103.678318,02-2009
Pioneer,MRT,1.337645,103.69742,02-1009
Boon Lay,MRT,1.33862,103.705817,07-1990
Lakeside,MRT,1.344264,103.720797,11-1988
Chinese Garden,MRT,1.342436,103.732582,11-1988
Clementi,MRT,1.314925,103.765341,03-1988
Dover,MRT,1.311414,103.778596,10-2001
Buona Vista,MRT,1.307337,103.790046,03-1988
Commonwealth,MRT,1.302439,103.798326,03-1988
Queenstown,MRT,1.294867,103.805902,03-1988
Redhill,MRT,1.289674,103.816787,03-1988
Tiong Bahru,MRT,1.286555,103.826956,03-1988
Outram Park,MRT,1.280319,103.839459,12-1987
Tanjong Pagar,MRT,1.276385,103.846771,12-1987
Bugis,MRT,1.300747,103.855873,11-1989
Lavender,MRT,1.307577,103.863155,11-1989
Kallang,MRT,1.311532,103.871372,11-1989
Aljunied,MRT,1.316474,103.882762,11-1989
Paya Lebar,MRT,1.318214,103.893133,11-1989
Eunos,MRT,1.319809,103.902888,11-1989
Kembangan,MRT,1.320998,103.913433,11-1989
Bedok,MRT,1.324043,103.930205,11-1989
Tanah Merah,MRT,1.327309,103.946479,11-1989
Simei,MRT,1.343237,103.953343,12-1989
Tampines,MRT,1.354467,103.943325,12-1989
Pasir Ris,MRT,1.373234,103.949343,12-1989
Expo,MRT,1.334479,103.961459,01-2001
Changi Airport,MRT,1.357622,103.988487,02-2002
HarbourFront,MRT,1.265453,103.820514,06-2003
Chinatown,MRT,1.284566,103.843626,06-2003
Clarke Quay,MRT,1.288949,103.847521,06-2003
Little India,MRT,1.306691,103.849396,06-2003
Farrer Park,MRT,1.312679,103.854872,06-2003
Boon Keng,MRT,1.320091,103.861655,06-2003
Potong Pasir,MRT,1.331316,103.868779,06-2003
Woodleigh,MRT,1.339202,103.870727,06-2011
Serangoon,MRT,1.349862,103.873635,06-2003
Kovan,MRT,1.360207,103.885163,06-2003
Hougang,MRT,1.371406,103.892533,06-2003
Buangkok,MRT,1.382991,103.893347,01-2006
Sengkang,MRT,1.391682,103.895475,06-2003
Punggol,MRT,1.405191,103.902367,06-2003
Bras Basah,MRT,1.296978,103.850715,04-2010
Esplanade,MRT,1.293995,103.855396,04-2010
Promenade,MRT,1.294063,103.860156,04-2010
Nicoll Highway,MRT,1.300292,103.863449,04-2010
Stadium,MRT,1.302847,103.875417,04-2010
Mountbatten,MRT,1.306106,103.883175,04-2010
Dakota,MRT,1.308474,103.888825,04-2010
MacPherson,MRT,1.326769,103.889901,04-2010
Tai Seng,MRT,1.33594,103.887706,04-2010
Bartley,MRT,1.342923,103.87966,05-2009
Lorong Chuan,MRT,1.35153,103.864957,05-2009
Marymount,MRT,1.349089,103.839116,05-2009
Caldecott,MRT,1.337649,103.839627,10-2011
Botanic Gardens,MRT,1.322387,103.814905,10-2011
Farrer Road,MRT,1.317606,103.807711,10-2011
Holland Village,MRT,1.311189,103.796119,10-2011
one-north,MRT,1.299854,103.787584,10-2011
Kent Ridge,MRT,1.293629,103.784441,10-2011
Haw Par Villa,MRT,1.283149,103.781991,10-2011
Pasir Panjang,MRT,1.276111,103.791893,10-2011
Labrador Park,MRT,1.27218,103.802557,10-2011
Telok Blangah,MRT,1.270769,103.809878,10-2011
Bayfront,MRT,1.281371,103.858998,01-2012
Bukit Panjang,MRT,1.37834,103.762452,12-2015
Cashew,MRT,1.369997,103.764569,12-2015
Hillview,MRT,1.363185,103.767371,12-2015
Beauty World,MRT,1.341607,103.775682,12-2015
King Albert Park,MRT,1.335721,103.783203,12-2015
Sixth Avenue,MRT,1.331221,103.79718,12-2015
Tan Kah Kee,MRT,1.325826,103.807959,12-2015
Stevens,MRT,1.320012,103.825964,12-2015
Rochor,MRT,1.303601,103.852581,12-2015
Downtown,MRT,1.27949,103.852802,12-2013
Telok Ayer,MRT,1.282285,103.848584,12-2013
Fort Canning,MRT,1.291631,103.844621,10-2017
